"id","dim1","dim2","rating","gender","age","edu"
96,23.24899284,15.29873112,14,"Female","35 to 44 years","4 year college"
97,13.58799107,19.97255483,50,"Female","35 to 44 years","Some college"
98,27.93311348,24.74557022,2,"Male","55 to 64 years","Masters degree"
99,12.57719999,12.3672579,87,"Female","25 to 34 years","Masters degree"
100,25.01174355,27.57502164,62,"Male","45 to 54 years","Some college"
101,18.68266101,15.40532123,30,"Male","25 to 34 years","4 year college"
102,17.28560581,19.84160021,30,"Female","45 to 54 years","4 year college"
103,26.05105736,24.85036396,70,"Male","25 to 34 years","Some college"
104,12.1617628,12.32905694,17,"Male","35 to 44 years","Some college"
105,27.61829382,27.53189099,6,"Female","35 to 44 years","Some college"
106,14.55245229,15.51314267,40,"Male","25 to 34 years","Doctoral"
107,21.8818579,19.71068804,56,"Male","55 to 64 years","Some college"
108,22.16571586,24.95385785,26,"Female","35 to 44 years","4 year college"
109,14.34128133,12.29291172,70,"Female","45 to 54 years","Masters degree"
110,27.70270362,27.48674186,15,"Female","55 to 64 years","2 year college"
111,12.22572882,15.62216655,39,"Male","25 to 34 years","4 year college"
112,25.85509517,19.57985341,35,"Female","35 to 44 years","4 year college"
113,17.56338447,25.05602415,35,"Female","35 to 44 years","Some college"
114,18.39419615,12.25883193,31,"Female","45 to 54 years","Some college"
115,25.23702794,27.43958635,39,"Female","45 to 54 years","Some college"
116,12.47278425,15.73236364,25,"Male","55 to 64 years","High school"
117,27.88992303,19.44913137,22,"Male","25 to 34 years","2 year college"
118,22.97873432,12.22682671,44,"Female","18 to 24 years","4 year college"
119,21.03756246,27.3904371,15,"Male","25 to 34 years","4 year college"
120,15.2118275,15.84370443,24,"Male","18 to 24 years","2 year college"
121,27.31268386,19.31855696,42,"Male","25 to 34 years","Some college"
122,12.03535052,25.25626482,36,"Female","25 to 34 years","4 year college"
123,26.57712171,12.19690462,11,"Female","25 to 34 years","2 year college"
124,16.49459773,27.33930728,53,"Female","55 to 64 years","Some college"
125,19.53606081,15.95615906,25,"Female","25 to 34 years","4 year college"
126,24.31448058,19.18816517,1,"Female","18 to 24 years","Some college"
127,12.93977927,25.35428553,46,"Female","25 to 34 years","4 year college"
128,27.99806292,12.1690737,38,"Female","25 to 34 years","Masters degree"
129,13.11214441,27.28621059,90,"Female","45 to 54 years","Masters degree"
130,24.01388754,16.06969741,35,"Male","25 to 34 years","Some college"
131,19.88790944,19.05799094,37,"Male","25 to 34 years","Some college"
132,16.18159075,25.45087134,1,"Female","18 to 24 years","Some college"
133,26.7711359,12.14334139,25,"Male","25 to 34 years","High school"
134,12.01000997,27.23116126,55,"Female","35 to 44 years","Some college"
135,27.16286185,16.18428904,18,"Male","45 to 54 years","4 year college"
136,15.49844742,18.92806917,20,"Female","25 to 34 years","4 year college"
137,20.68753889,25.54599637,33,"Female","18 to 24 years","4 year college"
138,23.30253165,12.1197146,52,"Female","45 to 54 years","High school"
139,13.55307112,27.17417404,38,"Male","35 to 44 years","2 year college"
140,27.94047268,16.29990325,15,"Female","55 to 64 years","Some college"
141,12.599286,18.79843466,30,"Female","45 to 54 years","Masters degree"
142,24.96586786,25.63963512,56,"Female","35 to 44 years","Some college"
143,18.74057908,12.09819965,17,"Female","45 to 54 years","2 year college"
144,17.23047634,27.11526421,19,"Female","35 to 44 years","Some college"
145,26.08928133,16.41650905,23,"Male","55 to 64 years","4 year college"
146,12.15023227,18.66912216,25,"Male","25 to 34 years","Some college"
147,27.6001783,25.73176249,81,"Male","25 to 34 years","2 year college"
148,14.59557505,12.07880232,42,"Male","Age 65 or older","4 year college"
149,20.89253744,27.16654261,25,"Male","25 to 34 years","4 year college"
150,21.39067102,16.86217874,25,"Male","18 to 24 years","Some college"
151,13.46847261,18.86826986,3,"Female","35 to 44 years","2 year college"
152,26.88686666,26.15045735,51,"Female","Age 65 or older","2 year college"
153,11.36212239,12.22589302,26,"Female","45 to 54 years","Masters degree"
154,24.80504163,27.06319145,33,"Male","25 to 34 years","Doctoral"
155,17.16886908,17.23910243,35,"Male","35 to 44 years","4 year college"
156,17.90970588,18.85637695,1,"Male","25 to 34 years","4 year college"
157,24.85420491,26.35616003,1,"Male","25 to 34 years","High school"
158,11.86695085,12.82702688,25,"Male","18 to 24 years","4 year college"
159,26.99050705,27.1947337,40,"Female","25 to 34 years","4 year college"
160,12.91518704,17.03953648,11,"Female","25 to 34 years","Masters degree"
161,22.46487292,18.95841144,27,"Female","45 to 54 years","4 year college"
162,20.63640545,26.67378024,70,"Male","35 to 44 years","4 year college"
163,14.57954583,13.08481417,18,"Male","25 to 34 years","4 year college"
164,26.75088603,27.91217118,45,"Male","45 to 54 years","2 year college"
165,11.9142804,17.73959787,40,"Male","25 to 34 years","Masters degree"
166,26.22823642,19.0482087,19,"Female","45 to 54 years","Masters degree"
167,16.30485113,26.93486561,38,"Male","25 to 34 years","Some college"
168,19.23489726,12.87267941,22,"Male","25 to 34 years","Some college"
169,24.23310879,27.64399711,68,"Female","18 to 24 years","2 year college"
170,12.7816989,17.86486032,34,"Male","45 to 54 years","Some college"
171,28.38457084,18.7574767,63,"Male","35 to 44 years","High school"
172,13.53019277,26.89775675,31,"Male","25 to 34 years","2 year college"
173,24.41456382,12.68435658,10,"Male","35 to 44 years","2 year college"
174,20.3981373,27.3929647,46,"Female","25 to 34 years","2 year college"
175,16.54342376,18.0306844,8,"Male","55 to 64 years","Some college"
176,27.21550433,18.79742738,50,"Male","25 to 34 years","4 year college"
177,12.51860139,27.18126258,30,"Male","18 to 24 years","Less than high school"
178,27.64784566,12.93696743,3,"Male","25 to 34 years","4 year college"
179,15.77698599,27.85044513,30,"Male","25 to 34 years","4 year college"
180,20.60302861,18.74119305,40,"Male","25 to 34 years","Doctoral"
181,23.42135605,19.10801973,34,"Female","35 to 44 years","4 year college"
182,13.8080599,27.57813488,70,"Male","25 to 34 years","4 year college"
183,27.81211371,13.44674421,37,"Female","55 to 64 years","4 year college"
184,12.87864393,27.52250461,1,"Male","25 to 34 years","4 year college"
185,25.08871256,18.65276691,1,"Male","25 to 34 years","4 year college"
186,18.96755252,18.92186655,4,"Male","25 to 34 years","High school"
187,17.31137797,27.74403737,53,"Female","35 to 44 years","2 year college"
188,25.85194227,13.43327511,31,"Male","25 to 34 years","4 year college"
189,12.09509522,27.89373363,34,"Female","25 to 34 years","2 year college"
190,27.33082778,18.93970631,100,"Male","25 to 34 years","Masters degree"
191,14.71208619,19.04990334,33,"Male","25 to 34 years","High school"
192,21.84068203,28.01338331,59,"Female","25 to 34 years","Some college"
